film,character,dialogue,cleaned_dialogue,sentiment_score
Pulp Fiction,MIA,"You're quite the silver tongue devil, aren't you?","You're quite the silver tongue devil, aren't you?",-0.6597
Pulp Fiction,VINCENT,I meant I wouldn't laugh at you.,I meant I wouldn't laugh at you.,-0.4449
Pulp Fiction,MIA,"That's not what you said Vince. Well now I'm definitely not gonna tell ya, 'cause it's been built up too much.","That's not what you said Vince. Well now I'm definitely not gonna tell ya, 'cause it's been built up too much.",0.5859
Pulp Fiction,VINCENT,What a gyp.,What a gyp.,0.0
Pulp Fiction,MIA,Yummy!,Yummy!,0.5707
Pulp Fiction,VINCENT,Can I have a sip of that? I'd like to know what a five-dollar shake tastes like.,Can I have a sip of that? I'd like to know what a five-dollar shake tastes like.,0.5106
Pulp Fiction,MIA,Be my guest.,Be my guest.,0.0
Pulp Fiction,MIA,"You can use my straw, I don't have kooties.","You can use my straw, I don't have kooties.",0.0
Pulp Fiction,VINCENT,"Yeah, but maybe I do.","Yeah, but maybe I do.",0.1531
Pulp Fiction,MIA,Kooties I can handle.,Kooties I can handle.,0.0
Pulp Fiction,VINCENT,Goddamn! That's a pretty fuckin' good milk shake.,Goddamn! That's a pretty fuckin' good milk shake.,0.3861
Pulp Fiction,MIA,Told ya.,Told ya.,0.0
Pulp Fiction,VINCENT,"I don't know if it's worth five dollars, but it's pretty fuckin' good.","I don't know if it's worth five dollars, but it's pretty fuckin' good.",0.8761
Pulp Fiction,MIA,Don't you hate that?,Don't you hate that?,0.4585
Pulp Fiction,VINCENT,What?,What?,0.0
Pulp Fiction,MIA,Uncomfortable silences. Why do we feel it's necessary to yak about bullshit in order to be comfortable?,Uncomfortable silences. Why do we feel it's necessary to yak about bullshit in order to be comfortable?,-0.4767
Pulp Fiction,VINCENT,I don't know.,I don't know.,0.0
Pulp Fiction,MIA,"That's when you know you found somebody special. When you can just shit the fuck up for a minute, and comfortably share silence.","That's when you know you found somebody special. When you can just shit the fuck up for a minute, and comfortably share silence.",-0.1027
Pulp Fiction,VINCENT,"I don't think we're there yet. But don't feel bad, we just met each other.","I don't think we're there yet. But don't feel bad, we just met each other.",0.5824
Pulp Fiction,MIA,"Well I'll tell you what, I'll go to the bathroom and powder my nose, while you sit here and think of something to say.","Well I'll tell you what, I'll go to the bathroom and powder my nose, while you sit here and think of something to say.",0.2732
Pulp Fiction,VINCENT,I'll do that.,I'll do that.,0.0
Pulp Fiction,MIA,Don't you love it when you go to the bathroom and you come back to find your food waiting for you?,Don't you love it when you go to the bathroom and you come back to find your food waiting for you?,-0.5216
Pulp Fiction,VINCENT,We're lucky we got it at all. Buddy Holly doesn't seem to be much of a waiter. We shoulda sat in Marilyn Monroe's section.,We're lucky we got it at all. Buddy Holly doesn't seem to be much of a waiter. We shoulda sat in Marilyn Monroe's section.,0.4215
Pulp Fiction,MIA,"Which one, there's two Marilyn Monroes.","Which one, there's two Marilyn Monroes.",0.0
Pulp Fiction,VINCENT,No there's not.,No there's not.,-0.296
Pulp Fiction,VINCENT,That's Marilyn Monroe...,That's Marilyn Monroe...,0.0
Pulp Fiction,VINCENT,"... and that's Mamie Van Doren. I don't see Jayne Mansfield, so it must be her night off.","... and that's Mamie Van Doren. I don't see Jayne Mansfield, so it must be her night off.",0.0
Pulp Fiction,MIA,Pretty smart.,Pretty smart.,0.7096
Pulp Fiction,VINCENT,I have moments.,I have moments.,0.0
Pulp Fiction,MIA,Did ya think of something to say?,Did ya think of something to say?,0.0
Pulp Fiction,VINCENT,"Actually, there's something I've wanted to ask you about, but you seem like a nice person, and I didn't want to offend you.","Actually, there's something I've wanted to ask you about, but you seem like a nice person, and I didn't want to offend you.",0.838
Pulp Fiction,MIA,"Oooohhhh, this doesn't sound like mindless, boring, getting-to-know- you chit-chat. This sounds like you actually have something to say.","Oooohhhh, this doesn't sound like mindless, boring, getting-to-know- you chit-chat. This sounds like you actually have something to say.",0.127
Pulp Fiction,VINCENT,Only if you promise not to get offended.,Only if you promise not to get offended.,0.466
Pulp Fiction,MIA,"You can't promise something like that. I have no idea what you're gonna ask. You could ask me what you're gonna ask me, and my natural response could be to be offended. Then, through no fault of my own, I woulda broken my promise.","You can't promise something like that. I have no idea what you're gonna ask. You could ask me what you're gonna ask me, and my natural response could be to be offended. Then, through no fault of my own, I woulda broken my promise.",-0.5129
Pulp Fiction,VINCENT,Then let's just forget it.,Then let's just forget it.,-0.2263
Pulp Fiction,MIA,That is an impossibility. Trying to forget anything as intriguing as this would be an exercise in futility.,That is an impossibility. Trying to forget anything as intriguing as this would be an exercise in futility.,-0.2263
Pulp Fiction,VINCENT,Is that a fact?,Is that a fact?,0.0
Pulp Fiction,MIA,"Besides, it's more exciting when you don't have permission.","Besides, it's more exciting when you don't have permission.",0.5413
Pulp Fiction,VINCENT,What do you think about what happened to Antwan?,What do you think about what happened to Antwan?,0.0
Pulp Fiction,MIA,Who's Antwan?,Who's Antwan?,0.0
Pulp Fiction,VINCENT,Tony Rocky Horror.,Tony Rocky Horror.,-0.5719
Pulp Fiction,MIA,He fell out of a window.,He fell out of a window.,0.0
Pulp Fiction,VINCENT,"That's one way to say it. Another way is, he was thrown out. Another was is, he was thrown out by Marsellus. And even another way is, he was thrown out of a window by Marsellus because of you.","That's one way to say it. Another way is, he was thrown out. Another was is, he was thrown out by Marsellus. And even another way is, he was thrown out of a window by Marsellus because of you.",0.0
Pulp Fiction,MIA,Is that a fact?,Is that a fact?,0.0
Pulp Fiction,VINCENT,"No it's not, it's just what I heard.","No it's not, it's just what I heard.",-0.296
Pulp Fiction,MIA,Who told you this?,Who told you this?,0.0
Pulp Fiction,VINCENT,They.,They.,0.0
Pulp Fiction,MIA,"They talk a lot, don't they?","They talk a lot, don't they?",0.0
Pulp Fiction,VINCENT,They certainly do.,They certainly do.,0.34
Pulp Fiction,MIA,"Well don't by shy Vincent, what exactly did they say?","Well don't by shy Vincent, what exactly did they say?",0.4291
Pulp Fiction,MIA,"Let me help you Bashful, did it involve the F-word?","Let me help you Bashful, did it involve the F-word?",0.3818
Pulp Fiction,VINCENT,No. They just said Rocky Horror gave you a foot massage.,No. They just said Rocky Horror gave you a foot massage.,-0.5719
Pulp Fiction,MIA,And...?,And...?,0.0
Pulp Fiction,VINCENT,"No and, that's it.","No and, that's it.",-0.296
Pulp Fiction,MIA,You heard Marsellus threw Rocky Horror out of a four-story window because he massaged my feet?,You heard Marsellus threw Rocky Horror out of a four-story window because he massaged my feet?,-0.5719
Pulp Fiction,VINCENT,Yeah.,Yeah.,0.296
Pulp Fiction,MIA,And you believed that?,And you believed that?,0.0
Pulp Fiction,VINCENT,"At the time I was told, it seemed reasonable.","At the time I was told, it seemed reasonable.",0.0
Pulp Fiction,MIA,Marsellus throwing Tony out of a four story window for giving me a foot massage seemed reasonable?,Marsellus throwing Tony out of a four story window for giving me a foot massage seemed reasonable?,0.34
Pulp Fiction,VINCENT,"No, it seemed excessive. But that doesn't mean it didn't happen. I heard Marsellus is very protective of you.","No, it seemed excessive. But that doesn't mean it didn't happen. I heard Marsellus is very protective of you.",0.0
Pulp Fiction,MIA,A husband being protective of his wife is one thing. A husband almost killing another man for touching his wife's feet is something else.,A husband being protective of his wife is one thing. A husband almost killing another man for touching his wife's feet is something else.,-0.6258
Pulp Fiction,VINCENT,But did it happen?,But did it happen?,0.0
Pulp Fiction,MIA,"The only thing Antwan ever touched of mine was my hand, when he shook it. I met Anwan once � at my wedding � then never again.  The truth is, nobody knows why Marsellus tossed Tony Rocky Horror out of that window except Marsellus and Tony Rocky Horror. But when you scamps get together, you're worse than a sewing circle.","The only thing Antwan ever touched of mine was my hand, when he shook it. I met Anwan once � at my wedding � then never again. The truth is, nobody knows why Marsellus tossed Tony Rocky Horror out of that window except Marsellus and Tony Rocky Horror. But when you scamps get together, you're worse than a sewing circle.",-0.8142
Pulp Fiction,MIA,Right here.,Right here.,0.0
Pulp Fiction,MIA,I wanna dance.,I wanna dance.,0.0
Pulp Fiction,VINCENT,"No, no, no no, no, no, no, no.","No, no, no no, no, no, no, no.",-0.296
Pulp Fiction,MIA,"So, dance good.","So, dance good.",0.4404
Pulp Fiction,VINCENT,"All right, you asked for it.","All right, you asked for it.",0.0
Pulp Fiction,VINCENT,Was than an uncomfortable silence?,Was than an uncomfortable silence?,-0.3818
Pulp Fiction,MIA,I don't know what that was.,I don't know what that was.,0.0
Pulp Fiction,VINCENT,I'm gonna take a piss.,I'm gonna take a piss.,-0.4019
Pulp Fiction,MIA,"That was a little bit more information than I needed to know, but go right ahead.","That was a little bit more information than I needed to know, but go right ahead.",0.0
Pulp Fiction,VINCENT,"One drink and leave. Don't be rude, but drink your drink quickly, say goodbye, walk out the door, get in your car, and go down the road.","One drink and leave. Don't be rude, but drink your drink quickly, say goodbye, walk out the door, get in your car, and go down the road.",0.163
Pulp Fiction,VINCENT,"...It's a moral test of yourself, whether or not you can maintain loyalty. Because when people are loyal to each other, that's very meaningful.","...It's a moral test of yourself, whether or not you can maintain loyalty. Because when people are loyal to each other, that's very meaningful.",0.8479
Pulp Fiction,VINCENT,"So you're gonna go out there, drink your drink, say ""Goodnight, I've had a very lovely evening,"" go home, and jack off.  And that's all you're gonna do.","So you're gonna go out there, drink your drink, say ""Goodnight, I've had a very lovely evening,"" go home, and jack off. And that's all you're gonna do.",0.624
Pulp Fiction,VINCENT,Jesus Christ!,Jesus Christ!,0.0
Pulp Fiction,VINCENT,"We're on our feet now, and now we're gonna talk out to the car. Here we go, watch us walk.","We're on our feet now, and now we're gonna talk out to the car. Here we go, watch us walk.",0.0
Pulp Fiction,VINCENT,"Lance, this is Vincent, I'm in big fuckin' trouble man, I'm on my way to your place.","Lance, this is Vincent, I'm in big fuckin' trouble man, I'm on my way to your place.",-0.4576
Pulp Fiction,VINCENT,You still got an adrenaline shot?,You still got an adrenaline shot?,0.0
Pulp Fiction,VINCENT,"I need it man, I got a chick she's fuckin'  Doing on me.","I need it man, I got a chick she's fuckin' Doing on me.",0.0
Pulp Fiction,VINCENT,No choice.,No choice.,-0.296
Pulp Fiction,VINCENT,Yeah. She's dyin'.,Yeah. She's dyin'.,0.296
Pulp Fiction,VINCENT,Negative.,Negative.,-0.5719
Pulp Fiction,VINCENT,Sorry.,Sorry.,-0.0772
Pulp Fiction,VINCENT,"Too late, I'm already here.","Too late, I'm already here.",0.0
Pulp Fiction,VINCENT,"If you're through havin' your little hissy fit, this chick is dyin', get your needle and git it now!","If you're through havin' your little hissy fit, this chick is dyin', get your needle and git it now!",0.364
Pulp Fiction,VINCENT,"This fucked up bitch is Marsellus Wallace's wife. Now if she fuckin' croaks on me, I'm a grease spot. But before he turns me into a bar soap, I'm gonna be forced to tell 'im about how you coulda saved her life, but instead you let her die on your front lawn.","This fucked up bitch is Marsellus Wallace's wife. Now if she fuckin' croaks on me, I'm a grease spot. But before he turns me into a bar soap, I'm gonna be forced to tell 'im about how you coulda saved her life, but instead you let her die on your front lawn.",-0.8945
Pulp Fiction,VINCENT,She's ODing on us.,She's ODing on us.,0.0
Pulp Fiction,VINCENT,What do you need a medical book for?,What do you need a medical book for?,0.0
Pulp Fiction,VINCENT,You've had that thing for six years and you never used it?,You've had that thing for six years and you never used it?,0.0
Pulp Fiction,VINCENT,Well then get it.,Well then get it.,0.2732
Pulp Fiction,VINCENT,I'm not fuckin' stoppin' you.,I'm not fuckin' stoppin' you.,0.0
Pulp Fiction,VINCENT,Hurry up man! We're losin' her!,Hurry up man! We're losin' her!,0.0
Pulp Fiction,VINCENT,"I dunno, some medical book.","I dunno, some medical book.",0.0
Pulp Fiction,VINCENT,"� get your ass in here, fuck the book!","� get your ass in here, fuck the book!",-0.807
Pulp Fiction,VINCENT,Quit fuckin' around man and give her the shot!,Quit fuckin' around man and give her the shot!,0.0
Pulp Fiction,VINCENT,Does it have to be exact?,Does it have to be exact?,0.0
Pulp Fiction,VINCENT,"Well, I don't know exactly where her heart is, I think it's here.","Well, I don't know exactly where her heart is, I think it's here.",0.743
Pulp Fiction,VINCENT,"I need a big fat magic marker, got one?","I need a big fat magic marker, got one?",0.0
Pulp Fiction,VINCENT,"I need a big fat magic marker, any felt pen'll do, but a magic marker would be great.","I need a big fat magic marker, any felt pen'll do, but a magic marker would be great.",0.7684
Pulp Fiction,VINCENT,You're gonna give her the shot.,You're gonna give her the shot.,0.0
Pulp Fiction,VINCENT,I've never does this before.,I've never does this before.,0.0
Pulp Fiction,VINCENT,"Okay, what do I do?","Okay, what do I do?",0.2263
Pulp Fiction,VINCENT,I gotta stab her?,I gotta stab her?,-0.5859
Pulp Fiction,VINCENT,What happens after that?,What happens after that?,0.0
Pulp Fiction,VINCENT,This ain't a fuckin' joke man!,This ain't a fuckin' joke man!,-0.3393
Pulp Fiction,VINCENT,Count to three.,Count to three.,0.0
Pulp Fiction,MIA,Something.,Something.,0.0
Pulp Fiction,VINCENT,Mia!,Mia!,-0.3595
Pulp Fiction,VINCENT,What are your thoughts on how to handle this?,What are your thoughts on how to handle this?,0.0
Pulp Fiction,MIA,What's yours?,What's yours?,0.0
Pulp Fiction,VINCENT,Well I'm of the opinion that Marsellus can live his whole live and never ever hear of this incident.,Well I'm of the opinion that Marsellus can live his whole live and never ever hear of this incident.,0.2732
Pulp Fiction,MIA,"Don't worry about it. If Marsellus ever heard of this, I'd be in as much trouble as you.","Don't worry about it. If Marsellus ever heard of this, I'd be in as much trouble as you.",-0.0757
Pulp Fiction,VINCENT,I seriously doubt that.,I seriously doubt that.,-0.4939
Pulp Fiction,MIA,"If you can keep a secret, so can I.","If you can keep a secret, so can I.",0.0
Pulp Fiction,VINCENT,Let's shake on it.,Let's shake on it.,-0.1779
Pulp Fiction,VINCENT,Mum's the word.,Mum's the word.,0.0
Pulp Fiction,VINCENT,"If you'll excuse me, I gotta go home and have a heart attack.","If you'll excuse me, I gotta go home and have a heart attack.",0.34
Pulp Fiction,MIA,"You still wanna hear my ""FOX FORCE FIVE"" joke?","You still wanna hear my ""FOX FORCE FIVE"" joke?",0.296
Pulp Fiction,VINCENT,"Sure, but I think I'm still a little too petrified to laugh.","Sure, but I think I'm still a little too petrified to laugh.",0.2999
Pulp Fiction,MIA,"Uh-huh. You won't laugh because it's not funny. But if you still wanna hear it, I'll tell it.","Uh-huh. You won't laugh because it's not funny. But if you still wanna hear it, I'll tell it.",-0.395
Pulp Fiction,VINCENT,I can't wait.,I can't wait.,0.0
Pulp Fiction,MIA,"Three tomatoes are walking down the street, a poppa tomato, a momma tomato, and a little baby tomato. The baby tomato is lagging behind the poppa and momma tomato. The poppa tomato gets mad, goes over to the momma tomato and stamps on him �","Three tomatoes are walking down the street, a poppa tomato, a momma tomato, and a little baby tomato. The baby tomato is lagging behind the poppa and momma tomato. The poppa tomato gets mad, goes over to the momma tomato and stamps on him �",-0.6486
Pulp Fiction,MIA,"See ya 'round, Vince.","See ya 'round, Vince.",0.0
Pulp Fiction,BUTCH,Uh-huh.,Uh-huh.,0.0
Pulp Fiction,BUTCH,I'm ready.,I'm ready.,0.3612
Pulp Fiction,BUTCH,"If you're the cab I called, I'm the guy you're supposed to pick up.","If you're the cab I called, I'm the guy you're supposed to pick up.",0.0
Pulp Fiction,BUTCH,Outta here.,Outta here.,0.0
Pulp Fiction,VINCENT,Mia. How you doin'?,Mia. How you doin'?,-0.296
Pulp Fiction,MIA,Great. I never thanked you for the dinner.,Great. I never thanked you for the dinner.,0.4007
Pulp Fiction,BUTCH,"Hey, how do I open the window back here?","Hey, how do I open the window back here?",0.0
Pulp Fiction,BUTCH,Whatever gave you that idea?,Whatever gave you that idea?,0.0
Pulp Fiction,BUTCH,He's dead?,He's dead?,-0.6486
Pulp Fiction,BUTCH,Are you some kinda weirdo?,Are you some kinda weirdo?,-0.3626
Pulp Fiction,BUTCH,"Tell ya what, you give me one of them cigarettes, I'll give you an answer.","Tell ya what, you give me one of them cigarettes, I'll give you an answer.",0.0
Pulp Fiction,BUTCH,So...,So...,0.0
Pulp Fiction,BUTCH,...Esmarelda Villalobos � is that Mexican?,...Esmarelda Villalobos � is that Mexican?,0.0
Pulp Fiction,BUTCH,It's a very pretty name.,It's a very pretty name.,0.5413
Pulp Fiction,BUTCH,"That's one hell of a name you got there, sister.","That's one hell of a name you got there, sister.",-0.6808
Pulp Fiction,BUTCH,Butch.,Butch.,0.0
Pulp Fiction,BUTCH,"I'm an American, our names don't mean shit. Anyway, moving right along, what is it you wanna know, Esmarelda?","I'm an American, our names don't mean shit. Anyway, moving right along, what is it you wanna know, Esmarelda?",0.4449
Pulp Fiction,BUTCH,"� I couldn't tell ya. I didn't know he was dead 'til you told me he was dead. Now I know he's dead, do you wanna know how I feel about it?","� I couldn't tell ya. I didn't know he was dead 'til you told me he was dead. Now I know he's dead, do you wanna know how I feel about it?",-0.9313
Pulp Fiction,BUTCH,I don't feel the least little bit bad.,I don't feel the least little bit bad.,-0.4976
Pulp Fiction,BUTCH,Merci beaucoup. And here's a little something for the effort.,Merci beaucoup. And here's a little something for the effort.,0.0
Pulp Fiction,BUTCH,"Now if anybody should ask you about who your fare was tonight, what're you gonna tell 'em?","Now if anybody should ask you about who your fare was tonight, what're you gonna tell 'em?",0.0
Pulp Fiction,BUTCH,"Bon soir, Esmarelda.","Bon soir, Esmarelda.",0.0
Pulp Fiction,BUTCH,"Is that better, sugar pop?","Is that better, sugar pop?",0.4404
Pulp Fiction,BUTCH,Pretty hard. I got into a fight.,Pretty hard. I got into a fight.,0.0516
Pulp Fiction,BUTCH,Uh-huh?,Uh-huh?,0.0
Pulp Fiction,BUTCH,You were lookin' in the mirror and you wish you had some pot?,You were lookin' in the mirror and you wish you had some pot?,0.4019
Pulp Fiction,BUTCH,"Well you should be happy, 'cause you do.","Well you should be happy, 'cause you do.",0.7003
Pulp Fiction,BUTCH,I didn't realize there was a difference between a tummy and a pot belly.,I didn't realize there was a difference between a tummy and a pot belly.,0.0
Pulp Fiction,BUTCH,You want me to have a pot?,You want me to have a pot?,0.0772
Pulp Fiction,BUTCH,You think guys would find that attractive?,You think guys would find that attractive?,0.4404
Pulp Fiction,BUTCH,"If you a pot belly, I'd punch you in it.","If you a pot belly, I'd punch you in it.",0.0
Pulp Fiction,BUTCH,Right in the belly.,Right in the belly.,0.0
Pulp Fiction,BUTCH,You'd do that to me?,You'd do that to me?,0.0
Pulp Fiction,BUTCH,"Did you get everything, sugar pop?","Did you get everything, sugar pop?",0.0
Pulp Fiction,BUTCH,Good job.,Good job.,0.4404
Pulp Fiction,BUTCH,You didn't listen to the radio?,You didn't listen to the radio?,0.0
Pulp Fiction,BUTCH,I won alright.,I won alright.,0.6908
Pulp Fiction,BUTCH,Sure am.,Sure am.,0.3182
Pulp Fiction,BUTCH,Floyd retired too.,Floyd retired too.,0.0
Pulp Fiction,BUTCH,Not no more.,Not no more.,0.2235
Pulp Fiction,BUTCH,"We ain't at the finish, baby.","We ain't at the finish, baby.",0.0
Pulp Fiction,BUTCH,"Fabienne, I want you to be with me.","Fabienne, I want you to be with me.",0.0772
Pulp Fiction,BUTCH,...and ever.,...and ever.,0.0
Pulp Fiction,BUTCH,Oui.,Oui.,0.0
Pulp Fiction,BUTCH,Will you kiss it?,Will you kiss it?,0.4215
Pulp Fiction,BUTCH,I think I cracked a rib.,I think I cracked a rib.,0.0
Pulp Fiction,BUTCH,"No retard, from the fight.","No retard, from the fight.",0.0454
Pulp Fiction,BUTCH,"Okay, sorry, sorry, sorry, I take it back!  Can I have a towel please, Miss Beautiful Tulip.","Okay, sorry, sorry, sorry, I take it back! Can I have a towel please, Miss Beautiful Tulip.",0.7088
Pulp Fiction,BUTCH,"I didn't call you a Mongoloid, I called you a retard, but I took it back.","I didn't call you a Mongoloid, I called you a retard, but I took it back.",-0.296
Pulp Fiction,BUTCH,Merci beaucoup.,Merci beaucoup.,0.0
Pulp Fiction,BUTCH,"I'm not sure yet. Wherever you want. We're gonna get a lot of money from this. But it ain't gonna be so much, we can live like hogs in the fat house forever. I was thinking we could go somewhere in the South Pacific. The kinda money we'll have'll carry us a long way down there.","I'm not sure yet. Wherever you want. We're gonna get a lot of money from this. But it ain't gonna be so much, we can live like hogs in the fat house forever. I was thinking we could go somewhere in the South Pacific. The kinda money we'll have'll carry us a long way down there.",0.444
Pulp Fiction,BUTCH,"You betcha. And if after awhile you don't dig Bora Bora, then we can move over to Tahiti or Mexico.","You betcha. And if after awhile you don't dig Bora Bora, then we can move over to Tahiti or Mexico.",0.0
Pulp Fiction,BUTCH,"You don't speak Bora Boran either. Besides, Mexican is easy: Donde esta el zapataria?","You don't speak Bora Boran either. Besides, Mexican is easy: Donde esta el zapataria?",0.4404
Pulp Fiction,BUTCH,Where's the shoe store?,Where's the shoe store?,0.0
Pulp Fiction,BUTCH,Excellent pronunciation. You'll be my little mama ceta in no time.,Excellent pronunciation. You'll be my little mama ceta in no time.,0.3612
Pulp Fiction,BUTCH,Que hora es?,Que hora es?,0.0
Pulp Fiction,BUTCH,What time is it?,What time is it?,0.0
Pulp Fiction,BUTCH,"Time for bed. Sweet dream, jellybean.","Time for bed. Sweet dream, jellybean.",0.6124
Pulp Fiction,BUTCH,What are you watching?,What are you watching?,0.0
Pulp Fiction,BUTCH,Are you watchin' it?,Are you watchin' it?,0.0
Pulp Fiction,BUTCH,Would you please?,Would you please?,0.3182
Pulp Fiction,BUTCH,It's a little too early in the morning for explosions and war.,It's a little too early in the morning for explosions and war.,-0.5994
Pulp Fiction,BUTCH,"How should I know, you were the one watchin' it.","How should I know, you were the one watchin' it.",0.0
Pulp Fiction,BUTCH,"Oh, I... don't remember. It's really rare I remember a dream.","Oh, I... don't remember. It's really rare I remember a dream.",0.25
Pulp Fiction,BUTCH,"Fabienne, I'm not lying to you, I don't remember.","Fabienne, I'm not lying to you, I don't remember.",0.4168
Pulp Fiction,BUTCH,"I don't talk in my sleep, do I talk in my sleep?","I don't talk in my sleep, do I talk in my sleep?",0.0
Pulp Fiction,BUTCH,What did I say?,What did I say?,0.0
Pulp Fiction,BUTCH,One more kiss and I'll get up.,One more kiss and I'll get up.,0.4754
Pulp Fiction,BUTCH,Yep.,Yep.,0.296
Pulp Fiction,BUTCH,What time is it?,What time is it?,0.0
Pulp Fiction,BUTCH,Eleven.,Eleven.,0.0
Pulp Fiction,BUTCH,Pie for breakfast?,Pie for breakfast?,0.0
Pulp Fiction,BUTCH,� where's my watch?,� where's my watch?,0.0
Pulp Fiction,BUTCH,"No, it's not. It's not here.","No, it's not. It's not here.",0.0
Pulp Fiction,BUTCH,Yes I've fuckin' looked!!,Yes I've fuckin' looked!!,0.508
Pulp Fiction,BUTCH,What the fuck do you think I'm doing?! Are you sure you got it?,What the fuck do you think I'm doing?! Are you sure you got it?,-0.4314
Pulp Fiction,BUTCH,� on the little kangaroo.,� on the little kangaroo.,0.0
Pulp Fiction,BUTCH,Well it's not here!,Well it's not here!,0.3382
Pulp Fiction,BUTCH,"Oh it most definitely should be here, but it's not. So where is it?","Oh it most definitely should be here, but it's not. So where is it?",0.2492
Pulp Fiction,BUTCH,"Fabienne, that was my father's fuckin' watch. You know what my father went through to git me that watch?... I don't wanna get into it right now... but he went through a lot. Now all this other shit, you coulda set on fire, but I specifically reminded you not to forget my father's watch. Now think, did you get it?","Fabienne, that was my father's fuckin' watch. You know what my father went through to git me that watch?... I don't wanna get into it right now... but he went through a lot. Now all this other shit, you coulda set on fire, but I specifically reminded you not to forget my father's watch. Now think, did you get it?",-0.8106
Pulp Fiction,BUTCH,"You believe so? You either did, or you didn't, now which one is it?","You believe so? You either did, or you didn't, now which one is it?",0.0
Pulp Fiction,BUTCH,Are you sure?,Are you sure?,0.3182
Pulp Fiction,BUTCH,"If you did leave it at the apartment, it's not your fault. I had you bring a bunch of stuff. I reminded you about it, but I didn't illustrate how personal the watch was to me. If all I gave a fuck about was my watch, I should've told you. You ain't a mind reader.","If you did leave it at the apartment, it's not your fault. I had you bring a bunch of stuff. I reminded you about it, but I didn't illustrate how personal the watch was to me. If all I gave a fuck about was my watch, I should've told you. You ain't a mind reader.",-0.6394
Pulp Fiction,BUTCH,Don't be. It just means I won't be able to eat breakfast with you.,Don't be. It just means I won't be able to eat breakfast with you.,0.0
Pulp Fiction,BUTCH,Because I'm going back to my apartment to get my watch.,Because I'm going back to my apartment to get my watch.,0.0
Pulp Fiction,BUTCH,"That's what I'm gonna find out. If they are, and I don't think I can handle it, I'll split.","That's what I'm gonna find out. If they are, and I don't think I can handle it, I'll split.",0.0
Pulp Fiction,BUTCH,"Don't feel bad, sugar pop. Nothing you could ever do would make me permanently angry at you.","Don't feel bad, sugar pop. Nothing you could ever do would make me permanently angry at you.",-0.1154
Pulp Fiction,BUTCH,"I'll be back before you can say, blueberry pie.","I'll be back before you can say, blueberry pie.",0.0
Pulp Fiction,BUTCH,"Well maybe not that fast, but fast. Okay?  Okay?","Well maybe not that fast, but fast. Okay? Okay?",0.6818
Pulp Fiction,BUTCH,"Bye-bye, sugar pop.","Bye-bye, sugar pop.",0.0
Pulp Fiction,BUTCH,I'm gonna take your Honda.,I'm gonna take your Honda.,0.0
Pulp Fiction,BUTCH,"Of all the fuckin' things she coulda forgot, she forgets my father's watch. I specifically reminded her not to forget it. ""Bedside table � on the kangaroo."" I said the words: ""Don't forget my father's watch.""","Of all the fuckin' things she coulda forgot, she forgets my father's watch. I specifically reminded her not to forget it. ""Bedside table � on the kangaroo."" I said the words: ""Don't forget my father's watch.""",0.3252
Pulp Fiction,BUTCH,"That's how you're gonna beat 'em, Butch.  They keep underestimatin' ya.","That's how you're gonna beat 'em, Butch. They keep underestimatin' ya.",0.0
Pulp Fiction,BUTCH,I guess.,I guess.,0.0
Pulp Fiction,BUTCH,Sacre bleu.,Sacre bleu.,0.0
Pulp Fiction,BUTCH,Shut up!,Shut up!,0.0
Pulp Fiction,BUTCH,"So you like chasing people, huh?","So you like chasing people, huh?",0.4173
Pulp Fiction,BUTCH,"Well guess what, big man, you caught me �","Well guess what, big man, you caught me �",0.2732
Pulp Fiction,BUTCH,"Look mister, this ain't any of your business �","Look mister, this ain't any of your business �",0.0
Pulp Fiction,BUTCH,Hey hillbilly.,Hey hillbilly.,0.0
Pulp Fiction,BUTCH,"You want that gun, Zed? Pick it up.","You want that gun, Zed? Pick it up.",-0.2732
Pulp Fiction,BUTCH,You okay?,You okay?,0.2263
Pulp Fiction,BUTCH,What now?,What now?,0.0
Pulp Fiction,BUTCH,"I meant what now, between me and you?","I meant what now, between me and you?",0.0
Pulp Fiction,BUTCH,So we're cool?,So we're cool?,0.3774
Pulp Fiction,BUTCH,Deal.,Deal.,0.0
Pulp Fiction,BUTCH,"Honey, grab your radio and your purse and let's go!","Honey, grab your radio and your purse and let's go!",0.0
Pulp Fiction,BUTCH,Fuck the bags. We'll miss our train if we don't split now.,Fuck the bags. We'll miss our train if we don't split now.,-0.6249
Pulp Fiction,BUTCH,"We're cool. In fact, we're super- cool. But we gots to go. I'll wait for you outside.","We're cool. In fact, we're super- cool. But we gots to go. I'll wait for you outside.",0.5789
Pulp Fiction,BUTCH,"Sorry baby, I crashed the Honda.","Sorry baby, I crashed the Honda.",-0.0772
Pulp Fiction,BUTCH,"I might've broke my nose, no biggie. Hop on.","I might've broke my nose, no biggie. Hop on.",-0.6124
Pulp Fiction,BUTCH,"Honey, we gotta hit the fuckin' road!","Honey, we gotta hit the fuckin' road!",0.0
Pulp Fiction,BUTCH,"I'm sorry, baby-love.","I'm sorry, baby-love.",-0.0772
Pulp Fiction,BUTCH,"I'm sorry I worried you, sweetie. Everything's fine. Hey, how was breakfast?","I'm sorry I worried you, sweetie. Everything's fine. Hey, how was breakfast?",0.3612
Pulp Fiction,BUTCH,� did you get the blueberry pancakes?,� did you get the blueberry pancakes?,0.0
