film,character,dialogue,cleaned_dialogue
Pulp Fiction,MIA,"Well I'll tell you what, I'll go to the bathroom and powder my nose, while you sit here and think of something to say.","Well I'll tell you what, I'll go to the bathroom and powder my nose, while you sit here and think of something to say."
Pulp Fiction,VINCENT,I'll do that.,I'll do that.
Pulp Fiction,MIA,Don't you love it when you go to the bathroom and you come back to find your food waiting for you?,Don't you love it when you go to the bathroom and you come back to find your food waiting for you?
Pulp Fiction,VINCENT,We're lucky we got it at all. Buddy Holly doesn't seem to be much of a waiter. We shoulda sat in Marilyn Monroe's section.,We're lucky we got it at all. Buddy Holly doesn't seem to be much of a waiter. We shoulda sat in Marilyn Monroe's section.
Pulp Fiction,MIA,"Which one, there's two Marilyn Monroes.","Which one, there's two Marilyn Monroes."
Pulp Fiction,VINCENT,No there's not.,No there's not.
Pulp Fiction,VINCENT,That's Marilyn Monroe...,That's Marilyn Monroe...
Pulp Fiction,VINCENT,"... and that's Mamie Van Doren. I don't see Jayne Mansfield, so it must be her night off.","... and that's Mamie Van Doren. I don't see Jayne Mansfield, so it must be her night off."
Pulp Fiction,MIA,Pretty smart.,Pretty smart.
Pulp Fiction,VINCENT,I have moments.,I have moments.
Pulp Fiction,MIA,Did ya think of something to say?,Did ya think of something to say?
Pulp Fiction,VINCENT,"Actually, there's something I've wanted to ask you about, but you seem like a nice person, and I didn't want to offend you.","Actually, there's something I've wanted to ask you about, but you seem like a nice person, and I didn't want to offend you."
Pulp Fiction,MIA,"Oooohhhh, this doesn't sound like mindless, boring, getting-to-know- you chit-chat. This sounds like you actually have something to say.","Oooohhhh, this doesn't sound like mindless, boring, getting-to-know- you chit-chat. This sounds like you actually have something to say."
Pulp Fiction,VINCENT,Only if you promise not to get offended.,Only if you promise not to get offended.
Pulp Fiction,MIA,"You can't promise something like that. I have no idea what you're gonna ask. You could ask me what you're gonna ask me, and my natural response could be to be offended. Then, through no fault of my own, I woulda broken my promise.","You can't promise something like that. I have no idea what you're gonna ask. You could ask me what you're gonna ask me, and my natural response could be to be offended. Then, through no fault of my own, I woulda broken my promise."
Pulp Fiction,VINCENT,Then let's just forget it.,Then let's just forget it.
Pulp Fiction,MIA,That is an impossibility. Trying to forget anything as intriguing as this would be an exercise in futility.,That is an impossibility. Trying to forget anything as intriguing as this would be an exercise in futility.
Pulp Fiction,VINCENT,Is that a fact?,Is that a fact?
Pulp Fiction,MIA,"Besides, it's more exciting when you don't have permission.","Besides, it's more exciting when you don't have permission."
Pulp Fiction,VINCENT,What do you think about what happened to Antwan?,What do you think about what happened to Antwan?
Pulp Fiction,MIA,Who's Antwan?,Who's Antwan?
Pulp Fiction,VINCENT,Tony Rocky Horror.,Tony Rocky Horror.
Pulp Fiction,MIA,He fell out of a window.,He fell out of a window.
Pulp Fiction,VINCENT,"That's one way to say it. Another way is, he was thrown out. Another was is, he was thrown out by Marsellus. And even another way is, he was thrown out of a window by Marsellus because of you.","That's one way to say it. Another way is, he was thrown out. Another was is, he was thrown out by Marsellus. And even another way is, he was thrown out of a window by Marsellus because of you."
Pulp Fiction,MIA,Is that a fact?,Is that a fact?
Pulp Fiction,VINCENT,"No it's not, it's just what I heard.","No it's not, it's just what I heard."
Pulp Fiction,MIA,Who told you this?,Who told you this?
Pulp Fiction,VINCENT,They.,They.
Pulp Fiction,MIA,"They talk a lot, don't they?","They talk a lot, don't they?"
Pulp Fiction,VINCENT,They certainly do.,They certainly do.
Pulp Fiction,MIA,"Well don't by shy Vincent, what exactly did they say?","Well don't by shy Vincent, what exactly did they say?"
Pulp Fiction,MIA,"Let me help you Bashful, did it involve the F-word?","Let me help you Bashful, did it involve the F-word?"
Pulp Fiction,VINCENT,No. They just said Rocky Horror gave you a foot massage.,No. They just said Rocky Horror gave you a foot massage.
Pulp Fiction,MIA,And...?,And...?
Pulp Fiction,VINCENT,"No and, that's it.","No and, that's it."
Pulp Fiction,MIA,You heard Marsellus threw Rocky Horror out of a four-story window because he massaged my feet?,You heard Marsellus threw Rocky Horror out of a four-story window because he massaged my feet?
Pulp Fiction,VINCENT,Yeah.,Yeah.
Pulp Fiction,MIA,And you believed that?,And you believed that?
Pulp Fiction,VINCENT,"At the time I was told, it seemed reasonable.","At the time I was told, it seemed reasonable."
Pulp Fiction,MIA,Marsellus throwing Tony out of a four story window for giving me a foot massage seemed reasonable?,Marsellus throwing Tony out of a four story window for giving me a foot massage seemed reasonable?
Pulp Fiction,VINCENT,"No, it seemed excessive. But that doesn't mean it didn't happen. I heard Marsellus is very protective of you.","No, it seemed excessive. But that doesn't mean it didn't happen. I heard Marsellus is very protective of you."
Pulp Fiction,MIA,A husband being protective of his wife is one thing. A husband almost killing another man for touching his wife's feet is something else.,A husband being protective of his wife is one thing. A husband almost killing another man for touching his wife's feet is something else.
Pulp Fiction,VINCENT,But did it happen?,But did it happen?
Pulp Fiction,MIA,"The only thing Antwan ever touched of mine was my hand, when he shook it. I met Anwan once � at my wedding � then never again.  The truth is, nobody knows why Marsellus tossed Tony Rocky Horror out of that window except Marsellus and Tony Rocky Horror. But when you scamps get together, you're worse than a sewing circle.","The only thing Antwan ever touched of mine was my hand, when he shook it. I met Anwan once � at my wedding � then never again. The truth is, nobody knows why Marsellus tossed Tony Rocky Horror out of that window except Marsellus and Tony Rocky Horror. But when you scamps get together, you're worse than a sewing circle."
Pulp Fiction,MIA,Right here.,Right here.
Pulp Fiction,MIA,I wanna dance.,I wanna dance.
Pulp Fiction,VINCENT,"No, no, no no, no, no, no, no.","No, no, no no, no, no, no, no."
Pulp Fiction,MIA,"So, dance good.","So, dance good."
Pulp Fiction,VINCENT,"All right, you asked for it.","All right, you asked for it."
Pulp Fiction,VINCENT,Was than an uncomfortable silence?,Was than an uncomfortable silence?
Pulp Fiction,MIA,I don't know what that was.,I don't know what that was.
Pulp Fiction,VINCENT,I'm gonna take a piss.,I'm gonna take a piss.
Pulp Fiction,MIA,"That was a little bit more information than I needed to know, but go right ahead.","That was a little bit more information than I needed to know, but go right ahead."
Pulp Fiction,VINCENT,"One drink and leave. Don't be rude, but drink your drink quickly, say goodbye, walk out the door, get in your car, and go down the road.","One drink and leave. Don't be rude, but drink your drink quickly, say goodbye, walk out the door, get in your car, and go down the road."
Pulp Fiction,VINCENT,"...It's a moral test of yourself, whether or not you can maintain loyalty. Because when people are loyal to each other, that's very meaningful.","...It's a moral test of yourself, whether or not you can maintain loyalty. Because when people are loyal to each other, that's very meaningful."
Pulp Fiction,VINCENT,"So you're gonna go out there, drink your drink, say ""Goodnight, I've had a very lovely evening,"" go home, and jack off.  And that's all you're gonna do.","So you're gonna go out there, drink your drink, say ""Goodnight, I've had a very lovely evening,"" go home, and jack off. And that's all you're gonna do."
Pulp Fiction,VINCENT,Jesus Christ!,Jesus Christ!
Pulp Fiction,VINCENT,"We're on our feet now, and now we're gonna talk out to the car. Here we go, watch us walk.","We're on our feet now, and now we're gonna talk out to the car. Here we go, watch us walk."
Pulp Fiction,VINCENT,"Lance, this is Vincent, I'm in big fuckin' trouble man, I'm on my way to your place.","Lance, this is Vincent, I'm in big fuckin' trouble man, I'm on my way to your place."
Pulp Fiction,VINCENT,You still got an adrenaline shot?,You still got an adrenaline shot?
Pulp Fiction,VINCENT,"I need it man, I got a chick she's fuckin'  Doing on me.","I need it man, I got a chick she's fuckin' Doing on me."
Pulp Fiction,VINCENT,No choice.,No choice.
Pulp Fiction,VINCENT,Yeah. She's dyin'.,Yeah. She's dyin'.
Pulp Fiction,VINCENT,Negative.,Negative.
Pulp Fiction,VINCENT,Sorry.,Sorry.
Pulp Fiction,VINCENT,"Too late, I'm already here.","Too late, I'm already here."
Pulp Fiction,VINCENT,"If you're through havin' your little hissy fit, this chick is dyin', get your needle and git it now!","If you're through havin' your little hissy fit, this chick is dyin', get your needle and git it now!"
Pulp Fiction,VINCENT,"This fucked up bitch is Marsellus Wallace's wife. Now if she fuckin' croaks on me, I'm a grease spot. But before he turns me into a bar soap, I'm gonna be forced to tell 'im about how you coulda saved her life, but instead you let her die on your front lawn.","This fucked up bitch is Marsellus Wallace's wife. Now if she fuckin' croaks on me, I'm a grease spot. But before he turns me into a bar soap, I'm gonna be forced to tell 'im about how you coulda saved her life, but instead you let her die on your front lawn."
Pulp Fiction,VINCENT,She's ODing on us.,She's ODing on us.
Pulp Fiction,VINCENT,What do you need a medical book for?,What do you need a medical book for?
Pulp Fiction,VINCENT,You've had that thing for six years and you never used it?,You've had that thing for six years and you never used it?
Pulp Fiction,VINCENT,Well then get it.,Well then get it.
Pulp Fiction,VINCENT,I'm not fuckin' stoppin' you.,I'm not fuckin' stoppin' you.
Pulp Fiction,VINCENT,Hurry up man! We're losin' her!,Hurry up man! We're losin' her!
Pulp Fiction,VINCENT,"I dunno, some medical book.","I dunno, some medical book."
Pulp Fiction,VINCENT,"� get your ass in here, fuck the book!","� get your ass in here, fuck the book!"
Pulp Fiction,VINCENT,Quit fuckin' around man and give her the shot!,Quit fuckin' around man and give her the shot!
Pulp Fiction,VINCENT,Does it have to be exact?,Does it have to be exact?
Pulp Fiction,VINCENT,"Well, I don't know exactly where her heart is, I think it's here.","Well, I don't know exactly where her heart is, I think it's here."
Pulp Fiction,VINCENT,"I need a big fat magic marker, got one?","I need a big fat magic marker, got one?"
Pulp Fiction,VINCENT,"I need a big fat magic marker, any felt pen'll do, but a magic marker would be great.","I need a big fat magic marker, any felt pen'll do, but a magic marker would be great."
Pulp Fiction,VINCENT,You're gonna give her the shot.,You're gonna give her the shot.
Pulp Fiction,VINCENT,I've never does this before.,I've never does this before.
Pulp Fiction,VINCENT,"Okay, what do I do?","Okay, what do I do?"
Pulp Fiction,VINCENT,I gotta stab her?,I gotta stab her?
Pulp Fiction,VINCENT,What happens after that?,What happens after that?
Pulp Fiction,VINCENT,This ain't a fuckin' joke man!,This ain't a fuckin' joke man!
Pulp Fiction,VINCENT,Count to three.,Count to three.
Pulp Fiction,MIA,Something.,Something.
Pulp Fiction,VINCENT,Mia!,Mia!
Pulp Fiction,VINCENT,What are your thoughts on how to handle this?,What are your thoughts on how to handle this?
Pulp Fiction,MIA,What's yours?,What's yours?
Pulp Fiction,VINCENT,Well I'm of the opinion that Marsellus can live his whole live and never ever hear of this incident.,Well I'm of the opinion that Marsellus can live his whole live and never ever hear of this incident.
Pulp Fiction,MIA,"Don't worry about it. If Marsellus ever heard of this, I'd be in as much trouble as you.","Don't worry about it. If Marsellus ever heard of this, I'd be in as much trouble as you."
Pulp Fiction,VINCENT,I seriously doubt that.,I seriously doubt that.
Pulp Fiction,MIA,"If you can keep a secret, so can I.","If you can keep a secret, so can I."
Pulp Fiction,VINCENT,Let's shake on it.,Let's shake on it.
Pulp Fiction,VINCENT,Mum's the word.,Mum's the word.
Pulp Fiction,VINCENT,"If you'll excuse me, I gotta go home and have a heart attack.","If you'll excuse me, I gotta go home and have a heart attack."
Pulp Fiction,MIA,"You still wanna hear my ""FOX FORCE FIVE"" joke?","You still wanna hear my ""FOX FORCE FIVE"" joke?"
Pulp Fiction,VINCENT,"Sure, but I think I'm still a little too petrified to laugh.","Sure, but I think I'm still a little too petrified to laugh."
Pulp Fiction,MIA,"Uh-huh. You won't laugh because it's not funny. But if you still wanna hear it, I'll tell it.","Uh-huh. You won't laugh because it's not funny. But if you still wanna hear it, I'll tell it."
Pulp Fiction,VINCENT,I can't wait.,I can't wait.
Pulp Fiction,MIA,"Three tomatoes are walking down the street, a poppa tomato, a momma tomato, and a little baby tomato. The baby tomato is lagging behind the poppa and momma tomato. The poppa tomato gets mad, goes over to the momma tomato and stamps on him �","Three tomatoes are walking down the street, a poppa tomato, a momma tomato, and a little baby tomato. The baby tomato is lagging behind the poppa and momma tomato. The poppa tomato gets mad, goes over to the momma tomato and stamps on him �"
Pulp Fiction,MIA,"See ya 'round, Vince.","See ya 'round, Vince."
Pulp Fiction,BUTCH,Uh-huh.,Uh-huh.
Pulp Fiction,BUTCH,I'm ready.,I'm ready.
Pulp Fiction,BUTCH,"If you're the cab I called, I'm the guy you're supposed to pick up.","If you're the cab I called, I'm the guy you're supposed to pick up."
Pulp Fiction,BUTCH,Outta here.,Outta here.
Pulp Fiction,VINCENT,Mia. How you doin'?,Mia. How you doin'?
Pulp Fiction,MIA,Great. I never thanked you for the dinner.,Great. I never thanked you for the dinner.
Pulp Fiction,BUTCH,"Hey, how do I open the window back here?","Hey, how do I open the window back here?"
Pulp Fiction,BUTCH,Whatever gave you that idea?,Whatever gave you that idea?
Pulp Fiction,BUTCH,He's dead?,He's dead?
Pulp Fiction,BUTCH,Are you some kinda weirdo?,Are you some kinda weirdo?
Pulp Fiction,BUTCH,"Tell ya what, you give me one of them cigarettes, I'll give you an answer.","Tell ya what, you give me one of them cigarettes, I'll give you an answer."
Pulp Fiction,BUTCH,So...,So...
Pulp Fiction,BUTCH,...Esmarelda Villalobos � is that Mexican?,...Esmarelda Villalobos � is that Mexican?
Pulp Fiction,BUTCH,It's a very pretty name.,It's a very pretty name.
Pulp Fiction,BUTCH,"That's one hell of a name you got there, sister.","That's one hell of a name you got there, sister."
Pulp Fiction,BUTCH,Butch.,Butch.
Pulp Fiction,BUTCH,"I'm an American, our names don't mean shit. Anyway, moving right along, what is it you wanna know, Esmarelda?","I'm an American, our names don't mean shit. Anyway, moving right along, what is it you wanna know, Esmarelda?"
Pulp Fiction,BUTCH,"� I couldn't tell ya. I didn't know he was dead 'til you told me he was dead. Now I know he's dead, do you wanna know how I feel about it?","� I couldn't tell ya. I didn't know he was dead 'til you told me he was dead. Now I know he's dead, do you wanna know how I feel about it?"
Pulp Fiction,BUTCH,I don't feel the least little bit bad.,I don't feel the least little bit bad.
Pulp Fiction,BUTCH,Merci beaucoup. And here's a little something for the effort.,Merci beaucoup. And here's a little something for the effort.
Pulp Fiction,BUTCH,"Now if anybody should ask you about who your fare was tonight, what're you gonna tell 'em?","Now if anybody should ask you about who your fare was tonight, what're you gonna tell 'em?"
Pulp Fiction,BUTCH,"Bon soir, Esmarelda.","Bon soir, Esmarelda."
Pulp Fiction,BUTCH,"Is that better, sugar pop?","Is that better, sugar pop?"
Pulp Fiction,BUTCH,Pretty hard. I got into a fight.,Pretty hard. I got into a fight.
Pulp Fiction,BUTCH,Uh-huh?,Uh-huh?
Pulp Fiction,BUTCH,You were lookin' in the mirror and you wish you had some pot?,You were lookin' in the mirror and you wish you had some pot?
Pulp Fiction,BUTCH,"Well you should be happy, 'cause you do.","Well you should be happy, 'cause you do."
Pulp Fiction,BUTCH,I didn't realize there was a difference between a tummy and a pot belly.,I didn't realize there was a difference between a tummy and a pot belly.
Pulp Fiction,BUTCH,You want me to have a pot?,You want me to have a pot?
Pulp Fiction,BUTCH,You think guys would find that attractive?,You think guys would find that attractive?
Pulp Fiction,BUTCH,"If you a pot belly, I'd punch you in it.","If you a pot belly, I'd punch you in it."
Pulp Fiction,BUTCH,Right in the belly.,Right in the belly.
Pulp Fiction,BUTCH,You'd do that to me?,You'd do that to me?
Pulp Fiction,BUTCH,"Did you get everything, sugar pop?","Did you get everything, sugar pop?"
Pulp Fiction,BUTCH,Good job.,Good job.
Pulp Fiction,BUTCH,You didn't listen to the radio?,You didn't listen to the radio?
Pulp Fiction,BUTCH,I won alright.,I won alright.
Pulp Fiction,BUTCH,Sure am.,Sure am.
Pulp Fiction,BUTCH,Floyd retired too.,Floyd retired too.
Pulp Fiction,BUTCH,Not no more.,Not no more.
Pulp Fiction,BUTCH,"We ain't at the finish, baby.","We ain't at the finish, baby."
Pulp Fiction,BUTCH,"Fabienne, I want you to be with me.","Fabienne, I want you to be with me."
Pulp Fiction,BUTCH,...and ever.,...and ever.
Pulp Fiction,BUTCH,Oui.,Oui.
Pulp Fiction,BUTCH,Will you kiss it?,Will you kiss it?
Pulp Fiction,BUTCH,I think I cracked a rib.,I think I cracked a rib.
Pulp Fiction,BUTCH,"No retard, from the fight.","No retard, from the fight."
Pulp Fiction,BUTCH,"Okay, sorry, sorry, sorry, I take it back!  Can I have a towel please, Miss Beautiful Tulip.","Okay, sorry, sorry, sorry, I take it back! Can I have a towel please, Miss Beautiful Tulip."
Pulp Fiction,BUTCH,"I didn't call you a Mongoloid, I called you a retard, but I took it back.","I didn't call you a Mongoloid, I called you a retard, but I took it back."
Pulp Fiction,BUTCH,Merci beaucoup.,Merci beaucoup.
Pulp Fiction,BUTCH,"I'm not sure yet. Wherever you want. We're gonna get a lot of money from this. But it ain't gonna be so much, we can live like hogs in the fat house forever. I was thinking we could go somewhere in the South Pacific. The kinda money we'll have'll carry us a long way down there.","I'm not sure yet. Wherever you want. We're gonna get a lot of money from this. But it ain't gonna be so much, we can live like hogs in the fat house forever. I was thinking we could go somewhere in the South Pacific. The kinda money we'll have'll carry us a long way down there."
Pulp Fiction,BUTCH,"You betcha. And if after awhile you don't dig Bora Bora, then we can move over to Tahiti or Mexico.","You betcha. And if after awhile you don't dig Bora Bora, then we can move over to Tahiti or Mexico."
Pulp Fiction,BUTCH,"You don't speak Bora Boran either. Besides, Mexican is easy: Donde esta el zapataria?","You don't speak Bora Boran either. Besides, Mexican is easy: Donde esta el zapataria?"
Pulp Fiction,BUTCH,Where's the shoe store?,Where's the shoe store?
Pulp Fiction,BUTCH,Excellent pronunciation. You'll be my little mama ceta in no time.,Excellent pronunciation. You'll be my little mama ceta in no time.
Pulp Fiction,BUTCH,Que hora es?,Que hora es?
Pulp Fiction,BUTCH,What time is it?,What time is it?
Pulp Fiction,BUTCH,"Time for bed. Sweet dream, jellybean.","Time for bed. Sweet dream, jellybean."
Pulp Fiction,BUTCH,What are you watching?,What are you watching?
Pulp Fiction,BUTCH,Are you watchin' it?,Are you watchin' it?
Pulp Fiction,BUTCH,Would you please?,Would you please?
Pulp Fiction,BUTCH,It's a little too early in the morning for explosions and war.,It's a little too early in the morning for explosions and war.
Pulp Fiction,BUTCH,"How should I know, you were the one watchin' it.","How should I know, you were the one watchin' it."
Pulp Fiction,BUTCH,"Oh, I... don't remember. It's really rare I remember a dream.","Oh, I... don't remember. It's really rare I remember a dream."
Pulp Fiction,BUTCH,"Fabienne, I'm not lying to you, I don't remember.","Fabienne, I'm not lying to you, I don't remember."
Pulp Fiction,BUTCH,"I don't talk in my sleep, do I talk in my sleep?","I don't talk in my sleep, do I talk in my sleep?"
Pulp Fiction,BUTCH,What did I say?,What did I say?
Pulp Fiction,BUTCH,One more kiss and I'll get up.,One more kiss and I'll get up.
Pulp Fiction,BUTCH,Yep.,Yep.
Pulp Fiction,BUTCH,What time is it?,What time is it?
Pulp Fiction,BUTCH,Eleven.,Eleven.
Pulp Fiction,BUTCH,Pie for breakfast?,Pie for breakfast?
Pulp Fiction,BUTCH,� where's my watch?,� where's my watch?
Pulp Fiction,BUTCH,"No, it's not. It's not here.","No, it's not. It's not here."
Pulp Fiction,BUTCH,Yes I've fuckin' looked!!,Yes I've fuckin' looked!!
Pulp Fiction,BUTCH,What the fuck do you think I'm doing?! Are you sure you got it?,What the fuck do you think I'm doing?! Are you sure you got it?
Pulp Fiction,BUTCH,� on the little kangaroo.,� on the little kangaroo.
Pulp Fiction,BUTCH,Well it's not here!,Well it's not here!
Pulp Fiction,BUTCH,"Oh it most definitely should be here, but it's not. So where is it?","Oh it most definitely should be here, but it's not. So where is it?"
Pulp Fiction,BUTCH,"Fabienne, that was my father's fuckin' watch. You know what my father went through to git me that watch?... I don't wanna get into it right now... but he went through a lot. Now all this other shit, you coulda set on fire, but I specifically reminded you not to forget my father's watch. Now think, did you get it?","Fabienne, that was my father's fuckin' watch. You know what my father went through to git me that watch?... I don't wanna get into it right now... but he went through a lot. Now all this other shit, you coulda set on fire, but I specifically reminded you not to forget my father's watch. Now think, did you get it?"
Pulp Fiction,BUTCH,"You believe so? You either did, or you didn't, now which one is it?","You believe so? You either did, or you didn't, now which one is it?"
Pulp Fiction,BUTCH,Are you sure?,Are you sure?
Pulp Fiction,BUTCH,"If you did leave it at the apartment, it's not your fault. I had you bring a bunch of stuff. I reminded you about it, but I didn't illustrate how personal the watch was to me. If all I gave a fuck about was my watch, I should've told you. You ain't a mind reader.","If you did leave it at the apartment, it's not your fault. I had you bring a bunch of stuff. I reminded you about it, but I didn't illustrate how personal the watch was to me. If all I gave a fuck about was my watch, I should've told you. You ain't a mind reader."
Pulp Fiction,BUTCH,Don't be. It just means I won't be able to eat breakfast with you.,Don't be. It just means I won't be able to eat breakfast with you.
Pulp Fiction,BUTCH,Because I'm going back to my apartment to get my watch.,Because I'm going back to my apartment to get my watch.
Pulp Fiction,BUTCH,"That's what I'm gonna find out. If they are, and I don't think I can handle it, I'll split.","That's what I'm gonna find out. If they are, and I don't think I can handle it, I'll split."
Pulp Fiction,BUTCH,"Don't feel bad, sugar pop. Nothing you could ever do would make me permanently angry at you.","Don't feel bad, sugar pop. Nothing you could ever do would make me permanently angry at you."
Pulp Fiction,BUTCH,"I'll be back before you can say, blueberry pie.","I'll be back before you can say, blueberry pie."
Pulp Fiction,BUTCH,"Well maybe not that fast, but fast. Okay?  Okay?","Well maybe not that fast, but fast. Okay? Okay?"
Pulp Fiction,BUTCH,"Bye-bye, sugar pop.","Bye-bye, sugar pop."
Pulp Fiction,BUTCH,I'm gonna take your Honda.,I'm gonna take your Honda.
Pulp Fiction,BUTCH,"Of all the fuckin' things she coulda forgot, she forgets my father's watch. I specifically reminded her not to forget it. ""Bedside table � on the kangaroo."" I said the words: ""Don't forget my father's watch.""","Of all the fuckin' things she coulda forgot, she forgets my father's watch. I specifically reminded her not to forget it. ""Bedside table � on the kangaroo."" I said the words: ""Don't forget my father's watch."""
Pulp Fiction,BUTCH,"That's how you're gonna beat 'em, Butch.  They keep underestimatin' ya.","That's how you're gonna beat 'em, Butch. They keep underestimatin' ya."
Pulp Fiction,BUTCH,I guess.,I guess.
Pulp Fiction,BUTCH,Sacre bleu.,Sacre bleu.
Pulp Fiction,BUTCH,Shut up!,Shut up!
Pulp Fiction,BUTCH,"So you like chasing people, huh?","So you like chasing people, huh?"
Pulp Fiction,BUTCH,"Well guess what, big man, you caught me �","Well guess what, big man, you caught me �"
Pulp Fiction,BUTCH,"Look mister, this ain't any of your business �","Look mister, this ain't any of your business �"
Pulp Fiction,BUTCH,Hey hillbilly.,Hey hillbilly.
Pulp Fiction,BUTCH,"You want that gun, Zed? Pick it up.","You want that gun, Zed? Pick it up."
Pulp Fiction,BUTCH,You okay?,You okay?
Pulp Fiction,BUTCH,What now?,What now?
Pulp Fiction,BUTCH,"I meant what now, between me and you?","I meant what now, between me and you?"
Pulp Fiction,BUTCH,So we're cool?,So we're cool?
Pulp Fiction,BUTCH,Deal.,Deal.
Pulp Fiction,BUTCH,"Honey, grab your radio and your purse and let's go!","Honey, grab your radio and your purse and let's go!"
Pulp Fiction,BUTCH,Fuck the bags. We'll miss our train if we don't split now.,Fuck the bags. We'll miss our train if we don't split now.
Pulp Fiction,BUTCH,"We're cool. In fact, we're super- cool. But we gots to go. I'll wait for you outside.","We're cool. In fact, we're super- cool. But we gots to go. I'll wait for you outside."
Pulp Fiction,BUTCH,"Sorry baby, I crashed the Honda.","Sorry baby, I crashed the Honda."
Pulp Fiction,BUTCH,"I might've broke my nose, no biggie. Hop on.","I might've broke my nose, no biggie. Hop on."
Pulp Fiction,BUTCH,"Honey, we gotta hit the fuckin' road!","Honey, we gotta hit the fuckin' road!"
Pulp Fiction,BUTCH,"I'm sorry, baby-love.","I'm sorry, baby-love."
Pulp Fiction,BUTCH,"I'm sorry I worried you, sweetie. Everything's fine. Hey, how was breakfast?","I'm sorry I worried you, sweetie. Everything's fine. Hey, how was breakfast?"
Pulp Fiction,BUTCH,� did you get the blueberry pancakes?,� did you get the blueberry pancakes?
Pulp Fiction,BUTCH,"Baby-love, from the moment I left you, this has been without a doubt the single weirdest day of my entire life. Climb on an' I'll tell ya about it.","Baby-love, from the moment I left you, this has been without a doubt the single weirdest day of my entire life. Climb on an' I'll tell ya about it."
Pulp Fiction,BUTCH,It's a chopper.,It's a chopper.
Pulp Fiction,BUTCH,Zed's.,Zed's.
Pulp Fiction,BUTCH,"Zed's dead, baby, Zed's dead.","Zed's dead, baby, Zed's dead."
Pulp Fiction,JULES,"You ever read the Bible, Brett?","You ever read the Bible, Brett?"
Pulp Fiction,JULES,"There's a passage I got memorized, seems appropriate for this situation: Ezekiel 25:17. ""The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men...""","There's a passage I got memorized, seems appropriate for this situation: Ezekiel 25:17. ""The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men..."""
Pulp Fiction,JULES,"""...blessed is he who, in the name of charity and good will, shepherded the weak through the valley of darkness. And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers. And you will know I am the Lord when I lay my vengeance upon you.""","""...blessed is he who, in the name of charity and good will, shepherded the weak through the valley of darkness. And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers. And you will know I am the Lord when I lay my vengeance upon you."""
Pulp Fiction,VINCENT,Friend of yours?,Friend of yours?
Pulp Fiction,JULES,"Yeah, Marvin-Vincent-Vincent-Marvin.","Yeah, Marvin-Vincent-Vincent-Marvin."
Pulp Fiction,VINCENT,Why the fuck didn't you tell us about that guy in the bathroom? Slip your mind?  Forget he was in there with a goddamn hand cannon?,Why the fuck didn't you tell us about that guy in the bathroom? Slip your mind? Forget he was in there with a goddamn hand cannon?
Pulp Fiction,VINCENT,.357.,.357.
Pulp Fiction,JULES,We should be fuckin' dead!,We should be fuckin' dead!
Pulp Fiction,VINCENT,"Yeah, we were lucky.","Yeah, we were lucky."
Pulp Fiction,JULES,That shit wasn't luck. That shit was somethin' else.,That shit wasn't luck. That shit was somethin' else.
Pulp Fiction,VINCENT,"Yeah, maybe.","Yeah, maybe."
Pulp Fiction,JULES,That was... divine intervention. You know what divine intervention is?,That was... divine intervention. You know what divine intervention is?
Pulp Fiction,VINCENT,"Yeah, I think so. That means God came down from Heaven and stopped the bullets.","Yeah, I think so. That means God came down from Heaven and stopped the bullets."
Pulp Fiction,JULES,"Yeah, man, that's what is means. That's exactly what it means! God came down from Heaven and stopped the bullets.","Yeah, man, that's what is means. That's exactly what it means! God came down from Heaven and stopped the bullets."
Pulp Fiction,VINCENT,I think we should be going now.,I think we should be going now.
Pulp Fiction,JULES,Don't do that! Don't you fuckin' do that!  Don't blow this shit off! What just happened was a fuckin' miracle!,Don't do that! Don't you fuckin' do that! Don't blow this shit off! What just happened was a fuckin' miracle!
Pulp Fiction,VINCENT,"Chill the fuck out, Jules, this shit happens.","Chill the fuck out, Jules, this shit happens."
Pulp Fiction,JULES,"Wrong, wrong, this shit doesn't just happen.","Wrong, wrong, this shit doesn't just happen."
Pulp Fiction,VINCENT,"Do you wanna continue this theological discussion in the car, or at the jailhouse with the cops?","Do you wanna continue this theological discussion in the car, or at the jailhouse with the cops?"
Pulp Fiction,JULES,"We should be fuckin' dead now, my friend!  We just witnessed a miracle, and I want you to fuckin' acknowledge it!","We should be fuckin' dead now, my friend! We just witnessed a miracle, and I want you to fuckin' acknowledge it!"
Pulp Fiction,VINCENT,"Okay man, it was a miracle, can we leave now?","Okay man, it was a miracle, can we leave now?"
Pulp Fiction,VINCENT,"...Ever seen that show ""COPS?""  I was watchin' it once and this cop was on it who was talkin' about this time he got into this gun fight with a guy in a hallway. He unloads on this guy and he doesn't hit anything. And these guys were in a hallway. It's a freak, but it happens.","...Ever seen that show ""COPS?"" I was watchin' it once and this cop was on it who was talkin' about this time he got into this gun fight with a guy in a hallway. He unloads on this guy and he doesn't hit anything. And these guys were in a hallway. It's a freak, but it happens."
Pulp Fiction,JULES,"If you wanna play blind man, then go walk with a Shepherd. But me, my eyes are wide fuckin' open.","If you wanna play blind man, then go walk with a Shepherd. But me, my eyes are wide fuckin' open."
